text,intent
"Turn on the lights in the bedroom.",light_on
"Please switch on the lights in the living room.",light_on
"It's a bit dark here, can you illuminate the room?",light_on
"Turn on the lights, I need better visibility.",light_on
"Activate the lighting in the hallway, please.",light_on
"Time to brighten up the space, turn on the lights.",light_on
"Can you flip the switch to light up the kitchen?",light_on
"I want to see better, turn on the lights.",light_on
"It's getting dark outside, turn on the porch lights.",light_on
"Switch on the lights, I'm having trouble seeing.",light_on
"Turn off the lights in the bedroom.",light_off
"Please switch off the lights in the living room.",light_off
"It's too bright, can you dim the lights?",light_off
"Turn off the lights, it's bedtime.",light_off
"Deactivate the lighting in the hallway, please.",light_off
"Time to dim the lights, it's movie night.",light_off
"Can you flip the switch to turn off the kitchen lights?",light_off
"I want to conserve energy, turn off the lights.",light_off
"It's morning, turn off the porch lights.",light_off
"Switch off the lights, I'm leaving the room.",light_off
"Turn on the air conditioning in the living room.",ac_on
"Please activate the AC in the bedroom.",ac_on
"It's hot in here, can you cool down the room?",ac_on
"Turn on the AC, it's too warm.",ac_on
"Activate the air conditioning in the office, please.",ac_on
"Time to chill, turn on the air conditioning.",ac_on
"Can you adjust the thermostat to cool the room?",ac_on
"I want to lower the temperature, turn on the AC.",ac_on
"It's sweltering, turn on the air conditioning unit.",ac_on
"Switch on the AC, it's getting humid.",ac_on
"Turn off the air conditioning in the living room.",ac_off
"Please deactivate the AC in the bedroom.",ac_off
"It's cold now, can you turn off the AC?",ac_off
"Turn off the AC, the room is freezing.",ac_off
"Deactivate the air conditioning in the office, please.",ac_off
"Time to warm up, turn off the air conditioning.",ac_off
"Can you adjust the thermostat to turn off the AC?",ac_off
"I want to raise the temperature, turn off the AC.",ac_off
"It's comfortable now, turn off the air conditioning unit.",ac_off
"Switch off the AC, it's too cold.",ac_off
"Turn on the vent in the bathroom.",vent_on
"Please activate the ventilation in the kitchen.",vent_on
"It's stuffy in here, can you turn on the vent?",vent_on
"Turn on the ventilation, the air feels stale.",vent_on
"Activate the vent in the basement, please.",vent_on
"Time to circulate some air, turn on the vent.",vent_on
"Can you open the vent to improve airflow?",vent_on
"I want to ventilate the room, turn on the vent.",vent_on
"It's humid, turn on the vent to reduce moisture.",vent_on
"Switch on the vent, it's getting stuffy.",vent_on
"Turn off the vent in the bathroom.",vent_off
"Please deactivate the ventilation in the kitchen.",vent_off
"It's breezy now, can you turn off the vent?",vent_off
"Turn off the ventilation, it's too windy.",vent_off
"Deactivate the vent in the basement, please.",vent_off
"Time to stop circulating air, turn off the vent.",vent_off
"Can you close the vent to prevent drafts?",vent_off
"I want to stop ventilating the room, turn off the vent.",vent_off
"It's dry, turn off the vent to retain moisture.",vent_off
"Switch off the vent, it's becoming too breezy.",vent_off
"Turn on the fan in the bedroom.",fan_on
"Please activate the fan in the living room.",fan_on
"It's warm in here, can you turn on the fan?",fan_on
"Turn on the fan, I need some air circulation.",fan_on
"Activate the fan in the office, please.",fan_on
"Time to create some airflow, turn on the fan.",fan_on
"Can you adjust the fan speed to low?",fan_on
"I want to feel a breeze, turn on the fan.",fan_on
"It's stuffy, turn on the fan for ventilation.",fan_on
"Switch on the fan, it's getting hot.",fan_on
"Turn off the fan in the bedroom.",fan_off
"Please deactivate the fan in the living room.",fan_off
"It's getting cold, can you turn off the fan?",fan_off
"Turn off the fan, it's too noisy.",fan_off
"Deactivate the fan in the office, please.",fan_off
"Time to stop airflow, turn off the fan.",fan_off
"Can you adjust the fan speed to low?",fan_off
"I want to feel quieter, turn off the fan.",fan_off
"It's too breezy, turn off the fan.",fan_off
"Switch off the fan, it's too windy.",fan_off
"Turn on the heater in the bedroom.",heater_on
"Please switch on the heater in the living room.",heater_on
"It's a bit chilly, can you turn on the heater?",heater_on
"Activate the heater in the office, please.",heater_on
