text,intent
"It's time to connect, switch on the multiplug.",multiplug_on
"I want to feel a breeze, turn on the fan.",fan_on
Please deactivate the AC in the bedroom.,ac_off
"Turn off the multiplug, I don't need any appliances.",multiplug_off
"It's stuffy in here, can you turn on the vent?",vent_on
"It's too bright, can you dim the lights?",light_off
Please switch on the heater in the living room.,heater_on
"Switch on the fan, it's getting hot.",fan_on
"Time to plug in, turn on the multiplug.",multiplug_on
"Turn on the multiplug, I need to use some appliances.",multiplug_on
"Deactivate the multiplug in the office, please.",multiplug_off
Can you close the vent to prevent drafts?,vent_off
Can you adjust the fan speed to high?,fan_on
"Switch off the lights, I'm leaving the room.",light_off
"It's time to sleep, can you turn off the TV?",tv_off
"It's too breezy, turn off the fan.",fan_off
Please switch off the lights in the living room.,light_off
"I want to lower the temperature, turn on the AC.",ac_on
"I want to relax and watch TV, turn on the TV.",tv_on
Turn off the multiplug in the bedroom.,multiplug_off
Can you adjust the thermostat to turn off the AC?,ac_off
"It's time to unplug devices, switch off the multiplug.",multiplug_off
Turn on the fan in the bedroom.,fan_on
"Activate the lighting in the hallway, please.",light_on
Please switch off the TV in the living room.,tv_off
Can you adjust the thermostat to cool the room?,ac_on
"It's time to save energy, turn off the TV.",tv_off
Can you adjust the thermostat to turn off the heater?,heater_off
Can you flip the switch to turn off the kitchen lights?,light_off
"It's morning, turn off the porch lights.",light_off
Turn off the lights in the bedroom.,light_off
Please switch off the multiplug in the living room.,multiplug_off
Please switch on the multiplug in the living room.,multiplug_on
"Time to cool down, turn off the heater.",heater_off
Please deactivate the ventilation in the kitchen.,vent_off
"Time to circulate some air, turn on the vent.",vent_on
"It's a bit chilly, can you turn on the heater?",heater_on
"Time to relax without TV, switch off the TV.",tv_off
"Time to create some airflow, turn on the fan.",fan_on
Turn on the lights in the bedroom.,light_on
"Time to stop circulating air, turn off the vent.",vent_off
"It's sweltering, turn on the air conditioning unit.",ac_on
Turn on the vent in the bathroom.,vent_on
"Activate the air conditioning in the office, please.",ac_on
"Deactivate the heater in the office, please.",heater_off
"Time to catch up on shows, switch on the TV.",tv_on
"It's time to power down, can you turn off the multiplug?",multiplug_off
"Activate the fan in the office, please.",fan_on
"Activate the vent in the basement, please.",vent_on
"Time to dim the lights, it's movie night.",light_off
"Switch on the heater, I'm feeling cold.",heater_on
"Switch off the AC, it's too cold.",ac_off
"It's hot in here, can you cool down the room?",ac_on
"It's power time, switch on the multiplug.",multiplug_on
Can you adjust the fan speed to low?,fan_off
Turn on the multiplug in the bedroom.,multiplug_on
